"x","predicted","group"
3302,662.474084207078,"points.cumul.delta"
3352,657.288005155784,"points.cumul.delta"
3766,614.347270611072,"points.cumul.delta"
3943,595.988550769492,"points.cumul.delta"
1,828.970366844837,"vote.intention.party"
2,981.001351476405,"vote.intention.party"
3,1133.03233610797,"vote.intention.party"
4,1285.06332073954,"vote.intention.party"
2,989.905997396577,"ideo.distance"
3,989.705340421783,"ideo.distance"
5,989.304026472195,"ideo.distance"
6,989.103369497401,"ideo.distance"
8,988.702055547813,"ideo.distance"
11,988.100084623432,"ideo.distance"
12,987.899427648638,"ideo.distance"
13,987.698770673844,"ideo.distance"
14,987.49811369905,"ideo.distance"
15,987.297456724256,"ideo.distance"
17,986.896142774668,"ideo.distance"
18,986.695485799875,"ideo.distance"
19,986.494828825081,"ideo.distance"
20,986.294171850287,"ideo.distance"
22,985.892857900699,"ideo.distance"
23,985.692200925905,"ideo.distance"
24,985.491543951111,"ideo.distance"
25,985.290886976317,"ideo.distance"
26,985.090230001523,"ideo.distance"
27,984.889573026729,"ideo.distance"
28,984.688916051936,"ideo.distance"
29,984.488259077142,"ideo.distance"
30,984.287602102348,"ideo.distance"
31,984.086945127554,"ideo.distance"
32,983.88628815276,"ideo.distance"
33,983.685631177966,"ideo.distance"
34,983.484974203172,"ideo.distance"
35,983.284317228378,"ideo.distance"
36,983.083660253584,"ideo.distance"
37,982.88300327879,"ideo.distance"
38,982.682346303996,"ideo.distance"
39,982.481689329203,"ideo.distance"
40,982.281032354409,"ideo.distance"
44,981.478404455233,"ideo.distance"
46,981.077090505645,"ideo.distance"
47,980.876433530852,"ideo.distance"
52,979.873148656882,"ideo.distance"
53,979.672491682088,"ideo.distance"
54,979.471834707294,"ideo.distance"
56,979.070520757706,"ideo.distance"
57,978.869863782912,"ideo.distance"
58,978.669206808119,"ideo.distance"
60,978.267892858531,"ideo.distance"
61,978.067235883737,"ideo.distance"
62,977.866578908943,"ideo.distance"
64,977.465264959355,"ideo.distance"
68,976.66263706018,"ideo.distance"
70,976.261323110592,"ideo.distance"
71,976.060666135798,"ideo.distance"
72,975.860009161004,"ideo.distance"
73,975.65935218621,"ideo.distance"
74,975.458695211416,"ideo.distance"
75,975.258038236622,"ideo.distance"
76,975.057381261828,"ideo.distance"
78,974.656067312241,"ideo.distance"
79,974.455410337447,"ideo.distance"
80,974.254753362653,"ideo.distance"
81,974.054096387859,"ideo.distance"
83,973.652782438271,"ideo.distance"
84,973.452125463477,"ideo.distance"
85,973.251468488683,"ideo.distance"
86,973.050811513889,"ideo.distance"
87,972.850154539096,"ideo.distance"
89,972.448840589508,"ideo.distance"
91,972.04752663992,"ideo.distance"
92,971.846869665126,"ideo.distance"
93,971.646212690332,"ideo.distance"
95,971.244898740744,"ideo.distance"
96,971.04424176595,"ideo.distance"
97,970.843584791157,"ideo.distance"
98,970.642927816363,"ideo.distance"
910,968.545613739214,"budget"
934,969.148762320331,"budget"
937,969.224155892971,"budget"
941,969.32468065649,"budget"
951,969.575992565289,"budget"
954,969.651386137929,"budget"
955,969.676517328809,"budget"
984,970.405321864326,"budget"
989,970.530977818725,"budget"
1003,970.882814491043,"budget"
1004,970.907945681923,"budget"
1026,971.460831881281,"budget"
1037,971.73727498096,"budget"
1076,972.717391425275,"budget"
1085,972.943572143194,"budget"
1111,973.596983106071,"budget"
1122,973.87342620575,"budget"
1131,974.099606923669,"budget"
1136,974.225262878069,"budget"
1141,974.350918832468,"budget"
1145,974.451443595988,"budget"
1146,974.476574786867,"budget"
1149,974.551968359507,"budget"
1150,974.577099550387,"budget"
1157,974.753017886546,"budget"
1172,975.129985749744,"budget"
1210,976.08497100318,"budget"
1216,976.23575814846,"budget"
1241,976.864037920457,"budget"
1252,977.140481020136,"budget"
1269,977.567711265094,"budget"
1270,977.592842455974,"budget"
1281,977.869285555652,"budget"
1290,978.095466273571,"budget"
1292,978.145728655331,"budget"
1309,978.572958900289,"budget"
1315,978.723746045569,"budget"
1324,978.949926763488,"budget"
1333,979.176107481407,"budget"
1343,979.427419390206,"budget"
1349,979.578206535485,"budget"
1351,979.628468917245,"budget"
1353,979.678731299004,"budget"
1354,979.703862489884,"budget"
1360,979.854649635164,"budget"
1364,979.955174398683,"budget"
1365,979.980305589563,"budget"
1371,980.131092734842,"budget"
1392,980.65884774332,"budget"
1399,980.834766079479,"budget"
1405,980.985553224759,"budget"
1418,981.312258706197,"budget"
1446,982.015932050834,"budget"
1447,982.041063241714,"budget"
1466,982.518555868432,"budget"
1487,983.046310876909,"budget"
1520,983.875640175946,"budget"
1524,983.976164939465,"budget"
1541,984.403395184423,"budget"
1543,984.453657566183,"budget"
1548,984.579313520583,"budget"
1551,984.654707093222,"budget"
1584,985.484036392259,"budget"
1591,985.659954728418,"budget"
1593,985.710217110178,"budget"
1599,985.861004255457,"budget"
1600,985.886135446337,"budget"
1606,986.036922591616,"budget"
1615,986.263103309535,"budget"
1617,986.313365691295,"budget"
1629,986.614939981854,"budget"
1675,987.770974762328,"budget"
1692,988.198205007287,"budget"
1706,988.550041679605,"budget"
1722,988.952140733683,"budget"
1728,989.102927878963,"budget"
1729,989.128059069842,"budget"
1736,989.303977406002,"budget"
1763,989.982519559759,"budget"
1768,990.108175514158,"budget"
1774,990.258962659437,"budget"
1779,990.384618613837,"budget"
1789,990.635930522636,"budget"
1794,990.761586477035,"budget"
