"x","predicted","std.error","conf.low","conf.high","group"
-2647,1279.51376973001,114.757385125438,1054.59342792416,1504.43411153586,"1"
-1516,1162.20466158974,97.0505909767416,971.988998597003,1352.42032458249,"1"
174,986.915189656015,80.9833086953892,828.190821264163,1145.63955804787,"1"
-2895,1305.23672182443,119.115255028534,1071.7751119592,1538.69833168966,"1"
-1898,1201.82630554163,102.571387629986,1000.79007994256,1402.8625311407,"1"
-1979,1210.22775360472,103.808271380097,1006.76728040237,1413.68822680707,"1"
1787,819.612279461279,83.0307345905752,656.875030053847,982.34952886871,"1"
-2860,1301.60646648852,118.491843528033,1069.36672071182,1533.84621226522,"1"
2327,763.602625707306,87.6104235598295,591.889350859741,935.315900554872,"1"
-749,1082.6502089429,87.8246912030718,910.516977231525,1254.78344065427,"1"
